name,rating,reviews,price_range,location,street,postal_code,Latitude,Longitude
Angle,4.5,15.0,over 67,"Carrer d'Aragó, 214::08011 Barcelona::Spain","Carrer d'Aragó, 214",08011 Barcelona,41.388256,2.1599542
La Cova Fumada,4.5,118.0,[12 - 33],"Carrer del Baluard, 56::08003 Barcelona::Spain","Carrer del Baluard, 56",08003 Barcelona,41.3792719,2.1892177999999998
Solomillo,4.5,10.0,over 67,"Carrer de Mallorca, 251::08008 Barcelona::Spain","Carrer de Mallorca, 251",08008 Barcelona,41.393208200000004,2.1614617999999997
Obe Restaurant,5.0,35.0,[12 - 33],"Plaça Santa Caterina, 1::08003 Barcelona::Spain","Plaça Santa Caterina, 1",08003 Barcelona,41.385616999999996,2.1785277
Thai Zaap,5.0,7.0,,"Carrer de Viladomat, 131::08015 Barcelona::Spain","Carrer de Viladomat, 131",08015 Barcelona,41.380903700000005,2.1554963
Els Sortidors del Parlament,4.5,18.0,[12 - 33],"Carrer del Parlament, 53::08015 Barcelona::Spain","Carrer del Parlament, 53",08015 Barcelona,41.377658700000005,2.1636933999999997
Red Ant,4.0,66.0,under 11,"Carrer dels Tiradors, 3-5::08003 Barcelona::Spain","Carrer dels Tiradors, 3-5",08003 Barcelona,41.3879625,2.1806766
Alaire,4.5,6.0,[12 - 33],"Passeig de Gràcia, 73::08008 Barcelona::Spain","Passeig de Gràcia, 73",08008 Barcelona,41.39343,2.1624077
Season Tapas Restaurante,5.0,5.0,,"Carrer d'Aribau, 125::08036 Barcelona::Spain","Carrer d'Aribau, 125",08036 Barcelona,41.3913544,2.1552118
Kamasot,4.5,9.0,[12 - 33],"Carrer del Consell de Cent, 465::08013 Barcelona::Spain","Carrer del Consell de Cent, 465",08013 Barcelona,41.3989092,2.1757854
Modu Korean Bowl,4.5,7.0,,"Carrer Minerva, 8::08006 Barcelona::Spain","Carrer Minerva, 8",08006 Barcelona,41.3966759,2.1562957000000003
Lonja de Tapas,4.0,23.0,under 11,"Carrer de Jaume I, 8-10::08002 Barcelona::Spain","Carrer de Jaume I, 8-10",08002 Barcelona,41.38322539999999,2.1779189999999997
PORK… boig per tu,4.5,34.0,[12 - 33],"Carrer del Consolat de Mar, 15::08003 Barcelona::Spain","Carrer del Consolat de Mar, 15",08003 Barcelona,41.382155299999994,2.1817794
Norte,4.0,9.0,under 11,"Carrer de la Diputació, 321::08009 Barcelona::Spain","Carrer de la Diputació, 321",08009 Barcelona,41.3936613,2.170929
Taco Alto,4.5,50.0,under 11,,,,,
Equilibrium Cafè,4.5,10.0,under 11,"Carrer de València, 352::08009 Barcelona::Spain","Carrer de València, 352",08009 Barcelona,41.397322499999994,2.1696482999999995
Bar Ramón,4.5,44.0,[12 - 33],"Carrer del Comte Borrell, 81::08015 Barcelona::Spain","Carrer del Comte Borrell, 81",08015 Barcelona,41.3786903,2.1606507
Ugot Bruncherie,4.5,84.0,[12 - 33],"Carrer de Viladomat, 138::08015 Barcelona::Spain","Carrer de Viladomat, 138",08015 Barcelona,41.3814111,2.1553718999999996
CruiX,5.0,11.0,[34 - 66],"Carrer d'Entença, 57::08015 Barcelona::Spain","Carrer d'Entença, 57",08015 Barcelona,41.37810220000001,2.1522517999999997
Petit Bangkok,4.5,7.0,[34 - 66],"Carrer de Balmes, 106::08008 Barcelona::Spain","Carrer de Balmes, 106",08008 Barcelona,41.3923418,2.158896
Palosanto,4.5,25.0,[34 - 66],"Carrer d'Avinyó, 30::08002 Barcelona::Spain","Carrer d'Avinyó, 30",08002 Barcelona,41.380751700000005,2.1772424999999997
Bar del Pla,4.0,133.0,[12 - 33],"Carrer de Montcada, 2::08003 Barcelona::Spain","Carrer de Montcada, 2",08003 Barcelona,41.385611,2.1800184
Elisabets,4.0,75.0,under 11,"Carrer d'Elisabets, 2::08001 Barcelona::Spain","Carrer d'Elisabets, 2",08001 Barcelona,41.383715,2.1691013
Maná 75,4.5,3.0,[34 - 66],"Passeig de Joan de Borbó, 101::08039 Barcelona::Spain","Passeig de Joan de Borbó, 101",08039 Barcelona,41.3688689,2.1882247
La Cuina d’ en Garriga,4.0,23.0,[34 - 66],"Carrer de Consell de Cent, 308::08007 Barcelona::Spain","Carrer de Consell de Cent, 308",08007 Barcelona,41.3908105,2.1655172
La Hacienda,5.0,17.0,under 11,"Carrer de la Princesa, 23::08003 Barcelona::Spain","Carrer de la Princesa, 23",08003 Barcelona,41.3853345,2.1803508
Hummus,4.5,30.0,[12 - 33],"Carrer de Valencia, 227::08007 Barcelona::Spain","Carrer de Valencia, 227",08007 Barcelona,41.3913406,2.1611795
Slow & Low,4.0,5.0,,"Carrer del Comte Borrell, 119::08015 Barcelona::Spain","Carrer del Comte Borrell, 119",08015 Barcelona,41.3804239,2.1582305
El Pachuco,4.5,128.0,under 11,"Carrer de Sant Pau, 110::08001 Barcelona::Spain","Carrer de Sant Pau, 110",08001 Barcelona,41.3764929,2.1691511
El Venezia,4.0,9.0,under 11,"Gran Via de les Corts Catalanes, 667::08010 Barcelona::Spain","Gran Via de les Corts Catalanes, 667",08010 Barcelona,41.394242999999996,2.1737986
El Rincón del Artista,4.0,23.0,[12 - 33],"Carrer Nou de la Rambla, 105::08001 Barcelona::Spain","Carrer Nou de la Rambla, 105",08001 Barcelona,41.3752139,2.1704171000000003
Chalito,4.0,12.0,,"Rambla de Catalunya, 12::08007 Barcelona::Spain","Rambla de Catalunya, 12",08007 Barcelona,41.388394399999996,2.1680884
Pau Claris 190,4.5,34.0,[34 - 66],"Carrer de Pau Claris, 190::08037 Barcelona::Spain","Carrer de Pau Claris, 190",08037 Barcelona,41.396622,2.1621966
Chez Cocó,4.5,23.0,[12 - 33],"Avinguda Diagonal, 465::08036 Barcelona::Spain","Avinguda Diagonal, 465",08036 Barcelona,41.393179100000005,2.1472581
Portolés,4.5,12.0,under 11,"Carrer de la Diputació, 375::08013 Barcelona::Spain","Carrer de la Diputació, 375",08013 Barcelona,41.3969984,2.1754782
Bo de Gracia,4.0,12.0,,"Carrer de la Diputació, 269::08007 Barcelona::Spain","Carrer de la Diputació, 269",08007 Barcelona,41.3909063,2.1675218
Margherita,4.0,89.0,[12 - 33],"Carrer del Rosselló, 253::08008 Barcelona::Spain","Carrer del Rosselló, 253",08008 Barcelona,41.3953467,2.1592797000000004
Bar Nolla,4.0,35.0,[34 - 66],"Carrer del Consell de Cent, 339::08007 Barcelona::Spain","Carrer del Consell de Cent, 339",08007 Barcelona,41.3905679,2.1646678
Casa Dorita,4.5,16.0,,"Carrer de Tamarit, 142::08015 Barcelona::Spain","Carrer de Tamarit, 142",08015 Barcelona,41.377879899999996,2.1602392000000004
Palmito Beach Bar,4.5,5.0,[12 - 33],"Carrer de Ramon Trias Fargas, 2::08005 Barcelona::Spain","Carrer de Ramon Trias Fargas, 2",08005 Barcelona,41.3851321,2.1968292000000003
Takumi Sapporo Ramen Kitchen,4.5,3.0,,"Via Laietana, 32::08003 Barcelona::Spain","Via Laietana, 32",08003 Barcelona,41.385504,2.1772765
Bosque Palermo,4.0,193.0,[12 - 33],"Carrer de València, 163::08011 Barcelona::Spain","Carrer de València, 163",08011 Barcelona,41.388131099999995,2.1570433999999996
Son Hao,4.5,8.0,,"Carrer de Muntaner, 66::08011 Barcelona::Spain","Carrer de Muntaner, 66",08011 Barcelona,41.3870859,2.1590225
